"Product","Overall_Rating","Issue","Review","Sentiment"
"CloudStrider Sneakers","2/5","Durability issue","The shoes were super comfortable initially, but after just two months, the sole started to peel off! Really disappointed with the durability.","Negative"
"CloudStrider Sneakers","1/5","Sizing issue","I ordered my usual size, but these sneakers were way too tight. Had to return them. The sizing is totally off.","Negative"
"CloudStrider Sneakers","3/5","Odor retention","Great for short runs, but they hold onto odors even after washing. Not ideal for heavy use.","Neutral"
"CloudStrider Sneakers","5/5","None","Extremely lightweight and breathable. Perfect for casual jogging. No issues so far!","Positive"
"PeakTrek Hikers","1/5","Waterproof issue","These boots claim to be waterproof, but my feet were soaked after just walking through damp grass. Not worth it.","Negative"
"PeakTrek Hikers","2/5","Grip issue","I slipped multiple times on rocky trails because the soles don’t grip well on wet surfaces. Not safe for serious hikes.","Negative"
"PeakTrek Hikers","4/5","Padding issue","The boots are sturdy and provide decent ankle support, but I wish the padding was thicker for longer treks.","Neutral"
"PeakTrek Hikers","5/5","None","Used these for a weekend hike in the mountains, and they held up really well. No blisters, and they felt solid.","Positive"
"SwiftShine Heels","2/5","Durability issue","I wore these to a wedding, and the heel broke during the reception. Embarrassing and frustrating!","Negative"
"SwiftShine Heels","3/5","Scratching issue","While they look stunning, the glossy finish scratches so easily. They were scuffed after just one night out.","Neutral"
"SwiftShine Heels","1/5","Comfort issue","The worst! My feet were in so much pain after an hour. Definitely not designed for comfort.","Negative"
"SwiftShine Heels","4/5","None","Beautiful shoes, and I received so many compliments. Just don’t wear them if you’ll be on your feet all day.","Positive"
"LuxeLace Oxfords","5/5","None","These oxfords are absolutely perfect for office wear. The leather feels premium, and they’ve held up beautifully after months of use.","Positive"
"LuxeLace Oxfords","4/5","None","Stylish and comfortable, but I wish they came in more color options. A great buy overall!","Positive"
"LuxeLace Oxfords","5/5","None","Finally found dress shoes that don’t kill my feet after a full day at work. Great craftsmanship!","Positive"
"LuxeLace Oxfords","4/5","Break-in issue","They’re a bit stiff out of the box, but after breaking them in, they’re incredibly comfortable and classy.","Positive"
"EcoStep Slip-Ons","5/5","None","Love these slip-ons! They’re so easy to wear, and the fact that they’re made from recycled materials is a huge plus.","Positive"
"EcoStep Slip-Ons","4/5","Weather issue","Super comfy and stylish for casual outings. Only minor downside is that they aren’t ideal for rainy weather.","Positive"
"EcoStep Slip-Ons","5/5","None","These have quickly become my go-to everyday shoes. Lightweight, breathable, and eco-friendly!","Positive"
"EcoStep Slip-Ons","4/5","Arch support issue","The fit is great, and I appreciate the sustainable design. They could use a bit more arch support, but otherwise fantastic.","Positive"
"BounceMax Runners","5/5","None","These runners are a dream for long-distance running. The cushioning is excellent, and my feet feel great even after 10 miles!","Positive"
"BounceMax Runners","5/5","None","Absolutely love these! They provide just the right amount of support and bounce for my workouts.","Positive"
"BounceMax Runners","4/5","Bulkiness issue","Great performance shoes. Only minor complaint is that they’re slightly bulkier than expected, but it’s a small tradeoff for the comfort.","Neutral"
"BounceMax Runners","5/5","None","I’ve tried many running shoes, and these are by far the best. Durable, comfortable, and stylish too.","Positive"
